年月,台銀利率
202005,2.366
202006,2.366
202007,2.366
202008,2.366
202009,2.366
202010,2.366
202011,2.366
202012,2.366
202101,2.366
202102,2.366
202103,2.366
202104,2.366
202105,2.616
202106,2.616
202107,2.616
202108,2.741
202109,2.741
202110,2.741
202111,2.867
202112,2.867
202301,2.867
202302,2.992
202303,2.992
202304,2.992
202305,3.119
202306,3.119
202307,3.119
202308,3.119
202309,3.119
202310,3.119
202311,3.119
202312,3.119
202401,3.119
202402,3.119
202403,3.119
202404,3.119
202405,3.244
202406,3.244
202407,3.244
202408,3.244
202409,3.244
202410,3.244
202411,3.244
202412,3.244
202501,3.244
202502,3.244
202503,3.244
202504,3.244
202505,3.244
