期間,M1B年增率,M2年增率
2020M04,23.61,-40.77
2020M05,-402.92,-511.7
2020M06,31.4,274.75
2020M07,109.02,603.83
2020M08,78.45,124.82
2020M09,-293.2,-133.79
2020M10,-894.8,3.96
2020M11,207.22,104.84
2020M12,171.28,"1,100.40"
2021M01,60.43,-86.63
2021M02,240.73,396.78
2021M03,-81.37,-152.61
2021M04,81.76,87
2021M05,-34.16,47.11
2021M06,-8.72,-55.95
2021M07,-39.29,-9.99
2021M08,-39.15,-6.41
2021M09,25.58,413.85
2021M10,-16.59,-38.55
2021M11,-64.55,-22.19
2021M12,-23.55,-38.09
2022M01,1.46,737.87
2022M02,-48.77,-61.99
2022M03,-898.62,-397.68
2022M04,-138.07,12.11
2022M05,-95.34,-85.78
2022M06,-125.32,-67.72
2022M07,39.74,-44.14
2022M08,21.62,15.22
2022M09,-654.79,-11.58
2022M10,-97.89,141.21
2022M11,11.76,10.59
2022M12,-65.51,-67.12
2023M01,-36.33,23.2
2023M02,-188.12,-6.98
2023M03,-76.91,-59.95
2023M04,-234.33,24.92
2023M05,"-1,463.11",-533.98
2023M06,-468.48,"1,190.07"
2023M07,25.43,86.53
2023M08,-169.33,-110.55
2023M09,-61.69,-150.58
2023M10,"-1,639.54",-35.71
2023M11,-15.79,-30.85
2023M12,165.48,149.37
2024M01,-49.52,-27.77
2024M02,-391.67,190.19
2024M03,-523.4,406.71
2024M04,-254.8,-73.34
2024M05,-161.62,-136.82
2024M06,-1.23,-23.54
2024M07,-73.77,-36.97
2024M08,-59.48,186.81
2024M09,-4.49,149.52
2024M10,-291.27,33.19
2024M11,-240.5,-83.57
2024M12,0.03,23.47
2025M01,49.5,3.06
2025M02,-122.49,-45.26
2025M03,-219.05,-122.42
2025M04,-121.28,-231.76
