期間,M1B原始值,M2原始值
2019M05,"18,347,344","45,227,641"
2019M06,"18,274,387","45,038,184"
2019M07,"18,463,162","45,202,779"
2019M08,"18,726,826","45,313,461"
2019M09,"18,744,555","45,327,701"
2019M10,"18,663,224","45,483,450"
2019M11,"18,740,366","45,766,777"
2019M12,"18,901,441","45,847,301"
2020M01,"19,203,394","46,259,484"
2020M02,"19,360,834","46,610,991"
2020M03,"19,437,733","46,753,570"
2020M04,"19,630,514","46,986,865"
2020M05,"19,779,854","47,116,441"
2020M06,"20,082,699","47,477,250"
2020M07,"20,364,727","47,865,359"
2020M08,"20,779,465","48,343,627"
2020M09,"21,011,747","48,567,328"
2020M10,"21,061,398","48,691,517"
2020M11,"21,419,902","49,244,895"
2020M12,"21,957,908","49,721,350"
2021M01,"22,622,754","50,346,758"
2021M02,"22,956,480","50,862,321"
2021M03,"22,981,901","50,920,293"
2021M04,"23,111,944","51,137,274"
2021M05,"23,288,445","51,455,791"
2021M06,"23,569,675","51,857,579"
2021M07,"23,760,484","52,031,665"
2021M08,"23,977,765","52,425,303"
2021M09,"24,156,031","52,786,682"
2021M10,"24,207,931","52,804,318"
2021M11,"24,457,750","53,311,701"
2021M12,"24,758,016","53,709,010"
2022M01,"25,221,943","54,306,670"
2022M02,"25,498,947","54,764,160"
2022M03,"25,490,519","55,049,908"
2022M04,"25,379,697","55,291,270"
2022M05,"25,276,153","55,543,738"
2022M06,"25,474,479","55,826,245"
2022M07,"25,345,565","55,666,829"
2022M08,"25,789,157","56,057,165"
2022M09,"25,746,139","56,391,120"
2022M10,"25,462,085","56,668,203"
2022M11,"25,539,134","57,243,298"
2022M12,"25,783,954","57,502,037"
2023M01,"25,913,076","57,929,739"
2023M02,"26,016,523","58,485,714"
2023M03,"26,002,853","58,669,994"
2023M04,"26,059,477","58,998,290"
2023M05,"26,103,879","59,226,205"
2023M06,"26,072,303","59,137,467"
2023M07,"26,280,834","59,525,729"
2023M08,"26,527,742","59,717,013"
2023M09,"26,457,439","59,764,615"
2023M10,"26,306,314","59,895,809"
2023M11,"26,314,092","60,296,879"
2023M12,"26,584,852","60,548,592"
2024M01,"26,834,447","61,080,247"
2024M02,"27,179,113","61,754,060"
2024M03,"27,402,625","62,279,877"
2024M04,"27,347,071","62,573,900"
2024M05,"27,408,812","62,805,146"
2024M06,"27,436,734","62,834,309"
2024M07,"27,653,731","63,213,962"
2024M08,"27,602,412","63,178,530"
2024M09,"27,533,780","63,108,446"
2024M10,"27,598,953","63,385,514"
2024M11,"27,514,288","63,593,693"
2024M12,"27,647,201","63,884,877"
2025M01,"28,010,308","64,458,727"
2025M02,"28,021,770","64,957,801"
2025M03,"27,900,305","65,010,123"
2025M04,"27,853,118","65,003,437"
