"日期","收市","開市","高","低","成交量","升跌（%）"
"2025-6-1","442.00","443.40","450.90","433.40","1.04M","-0.45%"
"2025-5-1","444.00","467.25","472.25","430.75","1.94M","-4.98%"
"2025-4-1","467.25","457.75","490.75","447.50","3.72M","2.19%"
"2025-3-1","457.25","455.25","470.25","426.50","2.04M","0.83%"
"2025-2-1","453.50","476.75","504.50","453.00","4.04M","-8.01%"
"2025-1-1","493.00","465.00","508.00","456.75","2.29M","7.52%"
"2024-12-1","458.50","423.00","459.00","420.25","1.84M","5.89%"
"2024-11-1","433.00","425.75","447.75","425.50","3.53M","5.42%"
"2024-10-1","410.75","423.50","434.25","399.00","5.16M","-3.30%"
"2024-9-1","424.75","378.00","427.75","376.50","2.05M","5.92%"
"2024-8-1","401.00","399.75","409.00","385.00","4.42M","4.77%"
"2024-7-1","382.75","397.25","412.00","381.00","1.76M","-3.65%"
"2024-6-1","397.25","445.75","460.50","390.50","3.98M","-12.50%"
"2024-5-1","454.00","446.75","483.75","443.75","3.03M","1.62%"
"2024-4-1","446.75","454.50","454.50","435.75","3.54M","-1.71%"
"2024-3-1","454.50","429.25","460.00","422.00","2.32M","9.32%"
"2024-2-1","415.75","448.00","448.75","394.50","3.61M","-9.32%"
"2024-1-1","458.50","483.00","483.75","447.50","1.31M","-2.71%"
"2023-12-1","471.25","460.25","484.00","455.00","1.13M","2.06%"
"2023-11-1","461.75","478.75","481.25","447.00","3.79M","-3.55%"
"2023-10-1","478.75","477.00","509.50","476.00","3.35M","0.42%"
"2023-9-1","476.75","461.00","490.00","455.75","1.23M","3.42%"
"2023-8-1","461.00","504.00","512.25","459.00","2.20M","-8.53%"
"2023-7-1","504.00","558.50","614.75","495.25","1.29M","-9.11%"
"2023-6-1","554.50","594.00","672.50","552.00","3.16M","-6.49%"
"2023-5-1","593.00","583.30","656.25","547.10","176.21K","-6.76%"
"2023-4-1","636.00","659.50","682.50","572.00","13.72K","-3.71%"
